,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,15.841,6.36
std,33.43210170516392,1.0102504939895156
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,367.0,12.0
no_min_moves,664.0,86.0
