,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,18.982,6.57
std,45.51964096644122,1.017572869849892
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,7.25
max,435.0,10.0
no_min_moves,668.0,74.0
