,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,17.385,6.37
std,42.19745727411073,0.8950481054731702
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,358.0,11.0
no_min_moves,686.0,82.0
