,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.822,5.51
std,14.310734191966292,0.8818598344843513
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.25,6.0
max,322.0,8.0
no_min_moves,710.0,74.0
