,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.687,5.44
std,13.425471100645751,0.8912594652195479
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,5.0
max,198.0,9.0
no_min_moves,641.0,79.0
