,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.83,6.22
std,22.97278496066267,3.953211199503359
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,6.0
max,391.0,37.0
no_min_moves,699.0,72.0
