,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.573,5.34
std,19.33666407572872,0.8554046830110131
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,5.0
max,290.0,9.0
no_min_moves,681.0,84.0
