,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.485,5.41
std,17.590599881874528,0.9754046039537343
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,5.0
max,327.0,10.0
no_min_moves,688.0,83.0
