,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.92,4.3
std,14.99788440202606,0.810287391340663
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,190.0,9.0
no_min_moves,775.0,86.0
