,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,10.693,4.26
std,29.79816574357693,0.705247288100945
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,5.0,4.0
max,292.0,8.0
no_min_moves,749.0,86.0
