,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.679,4.25
std,17.620739185671226,0.8211226608993472
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,353.0,9.0
no_min_moves,754.0,90.0
