,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.518,4.21
std,11.351587313434827,0.6558978733019495
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,5.0,4.0
max,153.0,7.0
no_min_moves,740.0,90.0
