,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.358,5.22
std,22.836754440010804,0.6753973764841082
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,407.0,9.0
no_min_moves,738.0,88.0
