58,78,55,75,86,62,76,56,85,61,88,60,84,89,57,77,63,87,79,59,74,54,68,81,65,52,72,82,66,71,51,50,70,67,83,73,53,69,64,80
5,5,5,5,7,5,5,5,5,5,7,5,6,5,5,5,5,5,5,7,5,5,7,5,5,5,5,5,5,7,5,8,5,5,5,5,17,5,5,5
5,5,8,5,7,5,5,5,7,5,5,7,5,5,5,5,5,5,5,7,8,5,5,7,5,5,5,5,5,5,5,5,6,5,7,5,11,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,6,5,5,5,5,5,5,5,5,6,6,5,7,5
5,5,5,5,5,5,5,6,7,5,7,5,7,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,7,7,5,5,5,5,5,7,8,5,6,5
5,5,5,6,5,5,5,6,5,7,5,7,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,10,7,7,5
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,7,5,7,5,5,5,5,5,5,5,5
8,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,7,5,5,5,5,5,5,5,8,5,8,5,10,7,5,5
5,9,7,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,7,5,5,5,5,5,5,5,5
5,5,5,5,5,5,6,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,5
5,5,5,6,5,5,5,7,5,5,7,5,6,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,7
5,5,5,5,5,5,5,5,5,5,5,6,5,7,5,5,5,5,5,7,5,7,5,5,5,5,5,5,5,6,5,5,5,6,7,8,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,7,5,7,6,5,5,5,9,5,5,5
5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,5,5,5,5,7,5,5,5,5,5,9,6,7,5,5
5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,8,5,7,5,5,5,7,5,5,5,5,5,5,6,5,5,5,5,5,7,6,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,9,5,5,5,5,5,5,5,9,5,5
7,5,7,5,5,5,6,5,5,5,5,5,9,6,5,5,5,5,5,5,7,5,5,5,5,5,6,5,7,7,5,5,5,5,5,7,7,5,5,5
5,5,7,7,5,5,5,5,5,5,5,5,7,5,5,5,5,7,7,5,5,5,5,8,5,5,5,5,5,13,7,5,5,5,5,5,5,5,5,5
8,5,5,5,5,5,5,6,5,5,5,5,10,5,5,5,5,5,7,6,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,6,5,5,7,7,5,5,5,7,5,5,7,5,5,5,7,5,5,5,5,5,5,5,6,20,5,5,5,6,5,5,5,5,5,5
5,7,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,7,9,5,5,5,5,5,9,5,5,5,5,5,5,5,7,5,5
