56,61,55,58,62,63,54,59,60,57,66,51,65,52,53,64,50
6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,7,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6
6,6,6,6,6,6,6,7,6,6,6,6,8,10,6,6,7
6,7,6,6,6,6,6,6,6,8,6,6,8,6,6,8,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,8,10,6,6,6,6,6,6,6,10,6
6,6,6,6,6,6,6,6,8,8,6,8,6,6,6,8,6
6,8,6,6,6,6,6,8,6,6,6,6,8,6,6,12,8
6,6,6,6,6,6,8,9,8,6,6,6,6,6,6,6,8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,8,6,8,6,6,8,6,6,6,6
6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6
6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,8,8,8,6,6,6,6,6,6,6,6,6,6,10,6
6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6
8,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6
6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6
6,8,6,6,6,6,6,6,6,10,6,6,8,6,6,6,6
8,8,6,6,6,8,6,6,8,6,8,6,6,6,6,6,6
6,6,6,10,6,6,6,9,6,6,6,14,6,6,10,6,6
6,6,11,6,8,8,8,7,6,6,7,15,6,6,6,8,6
6,6,6,8,6,6,6,8,6,8,6,6,6,6,10,6,6
6,6,9,7,6,6,6,7,6,6,6,6,6,6,6,6,8
6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,8,10
6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6
8,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6
6,7,8,8,8,6,6,6,8,6,6,6,6,6,6,8,6
8,6,6,6,6,9,6,6,6,8,6,6,6,6,6,8,6
6,6,6,8,6,8,6,8,6,6,8,6,6,6,8,6,6
6,6,8,6,6,6,6,8,6,6,6,6,6,6,6,6,6
8,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6
6,6,6,8,6,6,6,6,6,8,8,6,6,6,6,8,6
6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,10,8,6,6,6,6,7,6,8,6,6,6,6
6,9,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6
6,6,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,8,6,6,6,6,6,10,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,6,6,8,6,7,9,7,6,6,6,6,6,6,6,6,6
6,6,8,6,6,6,6,8,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,8,6,6,6,6,6,9,6,6
6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
9,6,6,6,6,7,6,6,6,6,7,6,8,6,6,6,6
6,6,8,14,6,6,6,6,7,9,6,10,8,6,6,6,6
6,6,6,6,6,6,6,6,8,6,6,6,8,6,6,10,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,8,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,8,6,8,8,6,6,6,6,6,7,6,6
6,9,8,6,6,6,6,8,6,7,6,11,6,6,6,6,6
