63,54,59,60,57,56,61,55,58,62,53,64,50,51,65,52
6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6
8,6,6,6,6,6,6,6,6,11,6,6,6,6,8,6
6,8,6,6,6,6,6,6,6,8,6,6,6,6,6,6
6,6,6,6,6,6,8,6,6,6,6,6,6,6,8,8
8,6,6,10,6,6,6,6,6,6,7,6,6,8,6,6
6,6,8,10,6,6,6,6,6,6,6,6,6,6,6,6
7,6,6,6,6,8,6,6,6,6,6,7,6,6,6,6
6,6,6,6,8,6,6,8,6,6,6,8,6,6,8,8
11,6,6,6,6,6,6,6,6,6,6,8,6,8,8,6
6,6,6,9,6,6,6,6,6,6,6,6,8,6,6,6
6,9,6,6,6,7,6,6,6,6,6,6,12,6,8,6
6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,8,6,8,6,6,6,6,6,6,6,6,8,6,6
8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
6,6,6,6,6,6,8,6,6,8,6,6,8,8,6,6
6,6,6,6,8,6,6,6,6,6,6,6,8,6,6,6
6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6
8,6,8,8,6,6,8,6,6,6,6,6,6,6,6,6
6,6,6,6,8,6,6,8,6,6,6,6,6,6,8,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6
6,6,6,6,6,6,6,9,6,6,8,8,6,6,6,6
6,6,6,6,6,6,10,7,6,6,8,6,6,6,10,6
6,6,6,6,6,8,6,6,6,8,6,8,6,9,6,6
6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6
6,6,8,6,6,10,6,7,10,6,6,6,6,6,6,6
6,6,6,8,6,6,6,6,6,6,8,6,6,6,6,6
6,6,7,6,6,6,6,6,6,6,6,6,6,6,8,6
8,6,6,6,6,8,6,6,10,6,6,8,8,6,8,6
6,8,8,6,6,6,8,13,6,8,6,6,6,6,8,8
6,8,6,6,6,6,6,6,8,6,6,6,6,6,6,6
9,6,6,6,6,6,6,6,8,6,6,6,6,8,6,6
6,6,6,6,6,8,8,6,7,8,6,6,8,6,6,7
6,6,8,6,8,6,6,6,10,8,6,6,6,6,6,6
9,6,6,6,6,9,6,6,6,6,6,6,6,6,6,11
6,6,6,6,6,8,8,6,11,6,6,6,6,6,10,6
6,6,6,6,6,8,6,10,6,8,6,6,6,9,6,6
6,6,6,6,6,6,6,9,8,6,6,6,6,6,6,6
6,6,6,6,6,7,6,6,6,6,8,8,6,6,6,6
6,6,6,6,10,6,10,6,6,6,6,6,6,11,6,6
6,6,6,8,6,6,6,6,8,6,6,6,6,6,7,6
6,6,6,6,8,6,6,6,6,6,7,6,6,9,6,6
6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
6,8,6,6,6,6,6,6,8,6,6,6,6,6,6,8
