,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,16.138,6.62
std,38.55455108556459,1.2853486733650181
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,398.0,12.0
no_min_moves,663.0,76.0
