,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.208,6.45
std,12.826818127004971,0.9679197729505721
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,223.0,11.0
no_min_moves,686.0,80.0
