,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,15.094,6.59
std,31.63978887793407,1.3416031417296956
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,281.0,12.0
no_min_moves,687.0,79.0
