,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,11.821,6.37
std,26.269355493388833,0.9282872247947678
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,488.0,10.0
no_min_moves,688.0,85.0
