,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,13.312,6.45
std,31.299493834794106,0.9031370691409836
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,370.0,10.0
no_min_moves,666.0,76.0
