,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,18.635,6.32
std,36.536621350361614,0.8631630813759964
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,429.0,11.0
no_min_moves,598.0,85.0
