,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,62.015,6.32
std,109.83849630375623,0.8747871313939896
min,6.0,6.0
25%,6.0,6.0
50%,7.0,6.0
75%,58.25,6.0
max,500.0,11.0
no_min_moves,462.0,86.0
