,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,15.482,6.31
std,36.19408360060644,0.9067090007941975
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,500.0,10.0
no_min_moves,504.0,87.0
