,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,27.317,6.56
std,56.24551599077982,1.3281718277543777
min,6.0,6.0
25%,6.0,6.0
50%,7.0,6.0
75%,11.0,6.0
max,500.0,13.0
no_min_moves,347.0,81.0
