,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,11.883,7.32
std,22.453361985779868,2.150311229528968
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,8.0
max,313.0,19.0
no_min_moves,597.0,51.0
