,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,27.707,6.57
std,72.3088772193617,1.401694501218962
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,500.0,15.0
no_min_moves,627.0,78.0
