,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,14.115,6.53
std,29.590359314553183,1.0959521481849064
min,6.0,6.0
25%,6.0,6.0
50%,7.0,6.0
75%,8.0,6.0
max,313.0,12.0
no_min_moves,388.0,76.0
