,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,14.816,6.57
std,39.12586071867272,1.1997895438346466
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,497.0,11.0
no_min_moves,672.0,77.0
