,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.338,5.31
std,16.224209718226064,0.8491826135237998
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,250.0,9.0
no_min_moves,734.0,85.0
