,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.922,5.32
std,13.55786604638546,0.9307323064461803
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,189.0,11.0
no_min_moves,730.0,86.0
