,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.434,4.2
std,14.763455002254846,0.6513389472789296
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,313.0,8.0
no_min_moves,781.0,90.0
