,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.887,4.22
std,29.853969426032616,0.6289320754704404
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,410.0,6.0
no_min_moves,772.0,89.0
