,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.406,4.26
std,16.214131554359057,0.7735527379460552
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,228.0,8.0
no_min_moves,756.0,88.0
