,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.503,5.21
std,11.871601657987265,0.5910955416799719
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,192.0,8.0
no_min_moves,746.0,87.0
