,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.767,5.26
std,14.255522822083059,0.6608840115842392
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,235.0,7.0
no_min_moves,730.0,86.0
