,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.835,5.35
std,24.425363321215375,0.94681816969503
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,390.0,9.0
no_min_moves,710.0,85.0
