,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,26.148,8.08
std,61.58958818967191,18.194060524903133
min,6.0,6.0
25%,6.0,6.0
50%,8.0,6.0
75%,9.0,6.0
max,453.0,188.0
no_min_moves,411.0,89.0
