,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,12.438,7.92
std,25.534842552563042,4.246638599402991
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,8.0
max,412.0,31.0
no_min_moves,575.0,67.0
