,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.295,4.3
std,12.018503210442615,0.7177405625652735
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,235.0,6.0
no_min_moves,761.0,85.0
