,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.467,4.14
std,23.77768469151884,0.5863773391242058
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,318.0,8.0
no_min_moves,755.0,94.0
