,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.394,5.25
std,22.364098839812815,0.8918825850158447
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,5.0
max,321.0,11.0
no_min_moves,694.0,91.0
