,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.014,6.56
std,23.591319470397462,3.5712657971564368
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,7.0
max,500.0,24.0
no_min_moves,707.0,66.0
