,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,15.028,32.31
std,35.422619580968004,50.07099908624701
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,18.5
max,463.0,214.0
no_min_moves,667.0,51.0
