,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,20.043,6.57
std,52.076781219101306,1.1569290594002941
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,481.0,11.0
no_min_moves,667.0,77.0
