,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,10.273,6.31
std,18.912327914541542,0.7745314647572362
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,229.0,10.0
no_min_moves,672.0,84.0
