,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,11.589,6.3
std,29.90231140275326,0.7587869106393281
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,7.0,6.0
max,450.0,10.0
no_min_moves,725.0,84.0
