,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,9.652,6.32
std,17.70769489398489,0.7898344027949048
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,257.0,10.0
no_min_moves,673.0,84.0
