,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,13.987,6.47
std,35.6699197388244,0.9791255632894428
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,500.0,10.0
no_min_moves,671.0,79.0
