,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.79,5.28
std,13.011502572693102,0.6678776879493775
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,190.0,7.0
no_min_moves,728.0,84.0
