,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,7.746,5.39
std,13.559621947065757,0.8396127053287695
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,222.0,8.0
no_min_moves,737.0,81.0
