,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.437,4.29
std,14.323239374742926,0.7288430017583493
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,6.0,4.0
max,274.0,7.0
no_min_moves,735.0,86.0
