,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,6.718,4.25
std,14.442266271435903,0.6571287406727709
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,201.0,6.0
no_min_moves,765.0,87.0
