,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,5.9,4.25
std,9.807761833985987,0.7159792333764037
min,4.0,4.0
25%,4.0,4.0
50%,4.0,4.0
75%,4.0,4.0
max,172.0,8.0
no_min_moves,774.0,88.0
