,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.221,5.36
std,21.242254880129657,0.8229044398784813
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,6.0,5.0
max,439.0,9.0
no_min_moves,728.0,82.0
