,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,8.166,5.38
std,14.037931026597457,0.9721370814090498
min,5.0,5.0
25%,5.0,5.0
50%,5.0,5.0
75%,7.0,5.0
max,250.0,10.0
no_min_moves,684.0,83.0
