,MOVE_COUNT,LAST_100_MOVES
count,1000.0,100.0
mean,12.569,6.37
std,24.680607192112824,0.9498006170356029
min,6.0,6.0
25%,6.0,6.0
50%,6.0,6.0
75%,8.0,6.0
max,256.0,11.0
no_min_moves,679.0,85.0
